Wavelength (nm),ABS_mean,ABS_std,HDPE_mean,HDPE_std,LDPE_mean,LDPE_std,PA6_mean,PA6_std,PA66_mean,PA66_std,PC_mean,PC_std,PET_mean,PET_std,PETG_mean,PETG_std,PLA_mean,PLA_std,PMMA_mean,PMMA_std,POM_mean,POM_std,PP_mean,PP_std,PS_mean,PS_std,PVC_mean,PVC_std,TPU_mean,TPU_std
1612.992125984252,62301.52380952381,2355.2776930412833,60880.32653061225,10990.757407165971,63678.52380952381,1143.5210293961372,45381.851851851854,8020.952671337109,49133.22580645161,4952.281785651471,57073.70212765958,188.26225651870757,58843.61818181818,4462.957765636063,60449.42307692308,162.95166179833893,62202.09090909091,3823.6070655515236,56184.293706293705,7292.377340098356,65062.5,193.0262287876961,62406.13333333333,4678.329860347839,57467.666666666664,8644.340251799955,61314.32989690721,5440.740153411228,65370.6,106.12118858487528
1616.1417322834643,60382.28571428572,2772.609122638598,60907.95918367347,11183.579984228669,63762.0,1101.9120179207118,46808.74074074074,8142.684940724143,50131.0,4943.31745732266,55639.65957446808,210.87036217157714,58646.74545454545,4794.6313621427635,59648.38461538462,384.84363227390827,61642.22727272727,4274.061363534243,54996.32167832168,7188.058321131765,64509.8125,368.390794325469,62295.166666666664,4766.7502597565235,55467.166666666664,8796.84739772658,61162.9587628866,5683.8024605602395,65533.6,5.238320341483518
1619.291338582677,57882.23809523809,3160.3957242387933,60768.61224489796,11265.809002566084,63785.0,946.70903661051,48254.666666666664,8083.400558712441,51254.16129032258,4756.415138945026,54079.31914893617,238.1303153320189,58464.509090909094,5087.790261088447,58616.230769230766,803.2116450510179,60885.454545454544,4564.008851151412,53889.74125874126,7108.401905234375,63744.5625,541.480605464083,62102.23333333333,4780.9332783696345,52974.194444444445,8866.465341760255,61002.907216494845,5870.609081806692,65221.666666666664,67.4997942383695
1622.4409448818897,54888.19047619047,3505.650223215138,60514.510204081635,11224.54302532833,63783.76190476191,707.5649662086838,49703.18518518518,7840.113108769479,52502.51612903226,4388.62299567039,52298.40425531915,270.9017769374164,58107.05454545454,5330.49209196293,57164.269230769234,1347.6888923604424,60006.5,4655.463786582581,52898.846153846156,7050.834032209093,62807.75,702.6846287631457,61791.13333333333,4709.854815408032,50111.166666666664,8906.394661203327,60852.278350515466,5973.314367314717,64350.53333333333,117.17216203328995
1625.5905511811025,51550.90476190476,3800.3640415192544,60213.4693877551,11086.556140902794,63796.380952380954,472.83395617635017,51139.22222222222,7443.144752217919,53859.3870967742,3887.0011716258336,50192.1914893617,308.34283477544324,57346.43636363636,5519.7985298004105,55099.92307692308,1963.23275243581,59108.59090909091,4566.166899142699,52019.72727272727,7013.756197826021,61742.0,852.4505117600669,61335.816666666666,4580.933869462524,47051.27777777778,9005.42669299126,60723.154639175256,5993.800302718654,62879.4,195.74534477223207
1628.740157480315,48059.42857142857,4039.4988087447605,59936.755102040814,10907.339024394825,63855.80952380953,405.0259978778104,52549.40740740741,6950.54399821023,55293.58064516129,3351.000031518695,47665.425531914894,347.73429234334304,55950.8,5644.598403944977,52259.53846153846,2580.185894179082,58296.13636363636,4364.057872871142,51209.34965034965,6993.133849611618,60580.125,992.964493008184,60729.683333333334,4445.872777050893,43991.944444444445,9259.422870017464,60619.31958762887,5955.642900794276,60821.13333333333,319.67522407732645
1631.8897637795276,44611.09523809524,4221.510662860393,59744.42857142857,10750.952880407145,63982.666666666664,504.1242603180985,53919.92592592593,6434.465409466752,56761.87096774193,2919.5268920962617,44653.14893617021,385.20356479224785,53726.30909090909,5702.959218679137,48542.730769230766,3119.7307151751256,57647.318181818184,4149.916169869236,50389.468531468534,6979.342768468889,59332.4375,1125.657583856543,59990.78333333333,4361.6338876299815,41121.22222222222,9730.171370282322,60534.010309278354,5891.609502136653,58243.4,477.16688904407437
1635.03937007874,41376.90476190476,4346.617172937198,59673.22448979592,10670.148395703738,64180.380952380954,571.9279405318451,55235.333333333336,5967.214884808614,58213.06451612903,2718.5666637982395,41135.51063829787,415.96531526540514,50553.4,5754.928346761898,43937.61538461538,3506.041325362257,57190.22727272727,4024.1765722580744,49456.307692307695,6959.078424670183,57977.8125,1250.525350540224,59162.86666666667,4372.239858724842,38586.22222222222,10414.97850616844,60449.8969072165,5831.435250618441,55260.53333333333,650.795499540541
1638.1889763779527,38473.90476190476,4417.579954861753,59728.04081632653,10689.916811037654,64432.380952380954,517.7884727321873,56476.555555555555,5606.499240024479,59591.58064516129,2766.8189464086795,37147.97872340425,435.52157478189076,46415.818181818184,5976.2452276900085,38536.07692307692,3678.8527886063457,56886.13636363636,4041.124250586424,48294.0,6921.83406613889,56462.5625,1364.498441220711,58309.683333333334,4500.9383225118245,36466.694444444445,11246.458847169639,60340.16494845361,5794.583527869091,52018.86666666667,823.86130440074
1641.3385826771653,35946.380952380954,4438.9035913128955,59879.34693877551,10802.891135230118,64702.666666666664,354.14125959288015,57622.37037037037,5383.764517634877,60841.12903225807,2962.974015344843,32781.17021276596,440.4709915895366,41416.181818181816,6623.3092939485905,32533.80769230769,3604.83736984316,56627.454545454544,4187.0809177242145,46790.55244755245,6870.170999468249,54703.875,1463.5679807836054,57506.21666666667,4752.801170859372,34760.38888888889,12114.099210510818,60172.0618556701,5789.857461013552,48678.2,984.5277852859208
